,제목,저자,번역,출간일,쪽수,판매가
161,공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,함남우,,2020-07-06,484,23000
162,응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,이건명,,2020-07-06,592,31000
163,"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",강문식,,2020-06-30,504,29000
164,"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍","김선우 , 신화선",,2020-06-20,772,30000
165,"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",정기철,,2020-06-19,520,27000
166,"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍","우재남 , 유혜림",,2020-06-19,564,34000
167,"IT CookBook, 처음 만나는 신재생에너지",김지홍,,2020-06-10,388,25000
168,프리드버그 선형대수학,"스티븐 H. 프리드버그 , 아놀드 J. 인셀 , 로렌스 E. 스펜스","한빛수학교재연구소 , 심형보(감수)",2020-06-05,616,35000
169,"IT CookBook, CentOS 리눅스",이종원,,2020-05-30,792,32000
170,"Microeconomics, 6th Edition, Asia Edition","David Besanko , Ronald Braeutigam",,2020-05-01,856,49000
171,정서노동과 행복,이동명,,2020-04-30,364,23000
172,누구나 파이썬 통계분석,타니아이 히로키,권기태,2020-04-06,384,26000
173,4차산업혁명시대 신노사관계론,정형일,,2020-03-25,592,30000
174,회계원리,"김확열 , 최상문",,2020-03-10,186,13000
175,제대로 배우는 MATLAB&Simulink,방성완,,2020-03-05,576,29000
176,의료관광론,고태규,,2020-03-01,348,25000
177,공학도를 위한 경영 : 4차 산업혁명 시대,하귀룡,,2020-02-28,348,25000
178,EXCEL로 구현해 보는 행렬회계,정용기,,2020-02-25,552,30000
179,벤처창업과 투자전략(개정판),정종용,,2020-02-25,336,22000
180,최신 마케팅,"고인곤 , 성정연 , 이성철 , 이승희 , 장형유 , 허남일",,2020-02-25,500,30000
181,"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",이종원,,2020-02-21,408,24000
182,"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",박두순,,2020-02-20,508,27000
183,"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스",송경희,2020-01-30,860,32000
184,처음 배우는 통계학,"이호선 , 유현미 , 김종배",,2020-01-20,404,27000
185,기초수학 : Basic Mathematics(2판),이재원,,2020-01-10,312,20000
186,"IT CookBook, 4차 산업혁명 시대의 정보통신개론",고응남,,2020-01-06,600,25000
187,"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",이영주,,2020-01-06,552,27000
188,"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",이영주,,2020-01-06,560,28000
189,"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용","한정수 , 김귀정",,2020-01-06,336,24000
190,"IT CookBook, 리눅스 실습 for Beginner",우재남,,2020-01-06,488,24000
191,"IT CookBook, 비주얼 베이직 2019 입문",임관철,,2020-01-06,436,25000
192,"IT CookBook, 스크래치로 배우는 컴퓨팅 사고","조성호 , 고광일",,2020-01-06,384,21000
193,"IT CookBook, 엑셀로 배우는 데이터 분석",박주미,,2020-01-06,480,21000
194,"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",조성호,,2020-01-06,538,26000
195,NO BULLSHIT 선형대수학 가이드,Ivan Savov,"김대정 , 모현선 , 배준우",2020-01-06,628,28000
196,NO BULLSHIT 수학&물리 가이드,Ivan Savov,권기영,2020-01-06,568,28000
197,정보교과교육론(2판),"이태욱 , 최현종 , 전용주",,2020-01-06,464,27000
198,실무로 완성하는 PLC(멜섹Q) : 서보를 이용한 위치 제어,정완보,,2020-01-02,568,28000
199,"College Physics, 5th Edition",Alan Giambattista,,2020-01-01,1232,52000
